filename,title,category,source_url,duration_seconds,size_bytes,sha256,frames,fps,width,height
"search_viz_compress.mp4","任务可视化：Object Search","object_search","https://jen-pan.github.io/memer/static/videos/search_viz_compress.mp4","36.333333333333336","1676047","be77993afeb04390d7df0a412cd8494178e4dd1a77462e987c441bdfbf7c860f","109","3.0","1004","976"
"counting_viz_compress.mp4","任务可视化：Counting","counting","https://jen-pan.github.io/memer/static/videos/counting_viz_compress.mp4","62.666666666666664","3067552","350a608b7ed7b728b90de130506995324e0a9ec070743b514bce0f91fb9491b7","188","3.0","1004","976"
"dusting_viz_compress.mp4","任务可视化：Dust & Replace","dust_replace","https://jen-pan.github.io/memer/static/videos/dusting_viz_compress.mp4","59.666666666666664","2647411","b0ae16f365ae241f92464f6940079389e3fb3a8f2afa5686bf18cb905ea7cf27","179","3.0","1004","976"
"search_pear-milk-corn_compressed.mp4","官方结果 case：Object Search / pear-milk-corn","object_search","https://jen-pan.github.io/memer/static/videos/search_pear-milk-corn_compressed.mp4","17.233333333333334","1113574","bb9cb384b388d4cf1d1467d62f3b6c75ed8fa91a541dbe2e2a9b6de97c04dbc7","517","30.0","640","420"
"search_red-milk-grapes_compressed.mp4","官方结果 case：Object Search / red-milk-grapes","object_search","https://jen-pan.github.io/memer/static/videos/search_red-milk-grapes_compressed.mp4","23.2","1380703","6cf2ba2a4ac0c0539d7e3c1d6d91123609ce08df2831c07dd3e1b1f9d6c0111c","696","30.0","640","420"
"search_red-olive-blue_compressed.mp4","官方结果 case：Object Search / red-olive-blue","object_search","https://jen-pan.github.io/memer/static/videos/search_red-olive-blue_compressed.mp4","28.366666666666667","1608240","6ac640df138a023ce597ecd3608e4dc93eef7f349a71a5676ee5a39b5c46890d","851","30.0","640","420"
